data,valor_fechamento,criptomoeda,volume_compra,volume_venda,change,gain,loss,avg_gain,avg_loss,rs,rsi,ema_short,ema_long,macd,macd_signal,indicativo_macd,max_50,gradiente_ema_curto,gradiente_ema_longo
2025-09-06 15:30:00,201.74,SOLUSDT,7344.32,1482748.86696,-0.4099999999999966,0.0,0.4099999999999966,0.12747053768923153,0.17700207149567895,0.7201641009740578,41.86601153728639,201.98818979656915,202.58373599369398,-0.5955461971248326,-0.5562002930658217,Baixa,204.38,-0.07238811322347735,-0.040163408758014996
2025-09-06 15:45:00,201.26,SOLUSDT,34353.541,6917272.69229,-0.4800000000000182,0.0,0.4800000000000182,0.11836549928285785,0.19864478067456035,0.595865136153645,37.33806338985508,201.80614234742686,202.5191635061967,-0.7130211587698341,-0.5875644662066243,Baixa,204.21,-0.08829108491761388,-0.04483836442835105
2025-09-06 16:00:00,201.37,SOLUSDT,20563.294,4140963.35088,0.11000000000001364,0.11000000000001364,-0.0,0.11776796361979755,0.1844558677692346,0.6384614653036268,38.967133425094744,201.69710676057014,202.46310674979685,-0.7659999892267138,-0.6232515708106422,Baixa,204.07,-0.09596831368819089,-0.04845600518796455
2025-09-06 16:15:00,201.66,SOLUSDT,35600.698,7160688.15335,0.28999999999999204,0.28999999999999204,-0.0,0.13007025193266858,0.17128044864286068,0.7593992949182421,43.162418963770854,201.6878300704276,202.42393081078237,-0.7361007403547717,-0.6458214047194681,Baixa,203.71,-0.10572623526614654,-0.052677663471464194
2025-09-06 16:30:00,201.8,SOLUSDT,10412.588,2100632.67343,0.14000000000001478,0.14000000000001478,-0.0,0.13077951965176474,0.15904613088265634,0.8222741347178913,45.12351457181763,201.7158725528207,202.3934951614759,-0.6776226086551844,-0.6521816455066114,Baixa,203.71,-0.06629467644961819,-0.04757143598503863
2025-09-06 16:45:00,201.62,SOLUSDT,17010.114,3435196.53653,-0.18000000000000682,0.0,0.18000000000000682,0.1214381253909244,0.16054283581960996,0.7564219528760249,43.06607257085542,201.69190441461552,202.35576369018438,-0.6638592755688535,-0.6545171715190599,Baixa,203.49,-0.020971007337226243,-0.039641122034597215
2025-09-06 17:00:00,201.61,SOLUSDT,7123.361,1436405.09536,-0.009999999999990905,0.0,0.009999999999990905,0.11276397357728694,0.1497897761182086,0.7528148883025084,42.94890996912757,201.67142831096163,202.31938497359002,-0.6479566626283884,-0.6532050697409256,Alta,203.49,-0.004728255502936176,-0.035561067301180256
2025-09-06 17:15:00,201.17,SOLUSDT,10071.966,2028081.06377,-0.44000000000002615,0.0,0.44000000000002615,0.10470940403605215,0.17051907782405268,0.6140626924108448,38.04453787935895,201.54607123322123,202.26331741390268,-0.7172461806814567,-0.6660132919290319,Baixa,203.49,-0.032796191627178936,-0.03953369816454773
2025-09-06 17:30:00,200.05,SOLUSDT,84318.701,16888593.09095,-1.1199999999999761,0.0,1.1199999999999761,0.09723016089061985,0.2383391436937615,0.40794877158554144,28.974688555332577,201.17205342491593,202.15535071078548,-0.9832972858695541,-0.7294700907171364,Baixa,203.49,-0.12334714372041358,-0.056873517766272204
2025-09-06 17:45:00,200.15,SOLUSDT,35896.497,7180862.57744,0.09999999999999432,0.09999999999999432,-0.0,0.09742800654128946,0.22131491914420712,0.44022340164878854,30.566327497860016,200.91654006868694,202.0575287248935,-1.1409886562065594,-0.8117738038150211,Baixa,203.49,-0.20501035779029073,-0.07605041933864944
2025-09-06 18:00:00,200.62,SOLUSDT,19172.587,3841258.7066,0.46999999999999886,0.46999999999999886,-0.0,0.12404029178834013,0.2055067106339066,0.6035826830458484,37.63963588702531,200.84240505151521,201.98740537245968,-1.1450003209444617,-0.8784191072409092,Baixa,203.49,-0.2287577683427254,-0.08697478912700006
2025-09-06 18:15:00,200.43,SOLUSDT,12338.339,2473734.68111,-0.18999999999999773,0.0,0.18999999999999773,0.11518027094631582,0.20439908844577026,0.5635067740376672,36.04121091093472,200.73930378863642,201.91143437868115,-1.1721305900447305,-0.9371614038016736,Baixa,203.49,-0.19431832625706003,-0.0871711408768908
2025-09-06 18:30:00,199.66,SOLUSDT,29261.149,5852874.76757,-0.7700000000000102,0.0,0.7700000000000102,0.1069531087358647,0.2447991535567874,0.43690146465745106,30.405805506058527,200.46947784147733,201.8016083114284,-1.3321304699510677,-1.0161552170315524,Baixa,203.49,-0.15823874469278826,-0.08535791449265054
2025-09-06 18:45:00,200.04,SOLUSDT,34747.779,6939792.24903,0.37999999999999545,0.37999999999999545,-0.0,0.12645645811187403,0.2273134997313026,0.5563086145844954,35.74539197246679,200.362108381108,201.7156761986758,-1.3535678175678072,-1.0836377371388035,Baixa,203.49,-0.1481790585195692,-0.08695021134666785
2025-09-06 19:00:00,199.9,SOLUSDT,13260.358,2651417.56856,-0.13999999999998636,0.0,0.13999999999998636,0.11742385396102588,0.2210768211790657,0.5311450261260814,34.68940022421785,200.24658128583098,201.62710662800868,-1.380525342177691,-1.1430152581465811,Baixa,203.49,-0.15688429388970357,-0.09163556689074587
2025-09-06 19:15:00,200.01,SOLUSDT,11607.285,2321779.22408,0.10999999999998522,0.10999999999998522,-0.0,0.1168935786780944,0.20528561966627532,0.5694192260915482,36.282162001393274,200.18743596437324,201.5482233778619,-1.3607874134886515,-1.1865696892149953,Baixa,203.49,-0.13266322041727627,-0.09009236850584396
2025-09-06 19:30:00,199.74,SOLUSDT,17257.889,3450485.27669,-0.2699999999999818,0.0,0.2699999999999818,0.1085440373439448,0.2099080754043972,0.5171027228696652,34.08488529316875,200.07557697327994,201.4600173594296,-1.384440386149663,-1.2261438286019288,Baixa,203.49,-0.09624741531294177,-0.08506347248116448
2025-09-06 19:45:00,199.71,SOLUSDT,16721.907,3338982.45297,-0.030000000000001137,0.0,0.030000000000001137,0.10079089181937731,0.1970574985897975,0.5114796064126823,33.83966308527434,199.98418272995997,201.3746506589696,-1.3904679290096453,-1.2590086486834722,Baixa,203.49,-0.09268556148472848,-0.08491403479913877
2025-09-06 20:00:00,200.19,SOLUSDT,10887.527,2177177.63096,0.47999999999998977,0.47999999999998977,-0.0,0.12787725668942104,0.18298196297624053,0.6988517043399812,41.13671031760193,200.03563704746998,201.3168628219467,-1.2812257744767237,-1.2634520738421227,Baixa,203.49,-0.06251417111352219,-0.07940603310164407
2025-09-06 20:15:00,200.33,SOLUSDT,6137.858,1229579.3526,0.14000000000001478,0.14000000000001478,-0.0,0.12874316692589202,0.16991182276365194,0.75770576074023,43.10765644991311,200.10922778560249,201.26872317209563,-1.1594953864931483,-1.2426607363723279,Alta,203.49,-0.019635628335141903,-0.0702154949015548
2025-09-06 20:30:00,200.46,SOLUSDT,17666.321,3538326.40676,0.12999999999999545,0.12999999999999545,-0.0,0.1288329407168994,0.15777526399481964,0.8165598171404707,44.950890658027134,200.19692083920188,201.22927326126168,-1.0323524220598017,-1.2005990735098226,Alta,203.49,0.03677327874864437,-0.05674156832099568
2025-09-06 20:45:00,200.8,SOLUSDT,9137.182,1832922.54172,0.3400000000000034,0.3400000000000034,-0.0,0.14391630209426398,0.14650560228090395,0.9823262718535818,49.5542174767756,200.34769062940143,201.20833310217574,-0.860642472774316,-1.1326077533627215,Alta,203.49,0.08882995906149017,-0.04202246742725977
2025-09-06 21:00:00,200.4,SOLUSDT,5540.119,1111145.93895,-0.4000000000000057,0.0,0.4000000000000057,0.13363656623038797,0.16461234497512553,0.8118259068029297,44.807059207771395,200.36076797205106,201.16890221914278,-0.808134247091715,-1.0677130521085203,Alta,203.49,0.08887246929611956,-0.03563112755278866
2025-09-06 21:15:00,200.61,SOLUSDT,3984.894,799052.36226,0.21000000000000796,0.21000000000000796,-0.0,0.13909109721393226,0.15285432033404514,0.909958559954112,47.642843097913826,200.4230759790383,201.14163869625776,-0.71856271721947,-0.9978829851307103,Alta,203.24,0.07915435197207381,-0.031453999379478535
2025-09-06 21:30:00,201.11,SOLUSDT,10057.966,2019848.25447,0.5,0.5,-0.0,0.16487030455579424,0.14193615459589906,1.1615807475212367,53.73755983223221,200.5948069842787,201.14009534522077,-0.5452883609420667,-0.9073640602929816,Alta,203.24,0.08711576397904061,-0.02450502379999959
2025-09-06 21:45:00,200.76,SOLUSDT,7724.795,1552170.02021,-0.35000000000002274,0.0,0.35000000000002274,0.15309385423038036,0.15679785783905076,0.9763772052774313,49.40237130190811,200.63610523820904,201.12155410886854,-0.4854488706594964,-0.8229810223662846,Alta,203.24,0.08108682298427874,-0.020236486053642914
2025-09-06 22:00:00,200.52,SOLUSDT,12443.913,2497982.89464,-0.23999999999998067,0.0,0.23999999999998067,0.14215857892821032,0.16274086799340287,0.8735272257118175,46.62474148887451,200.6070789286568,201.0922100059969,-0.48513107734009964,-0.7554110333610476,Alta,203.07,0.07056511723821257,-0.017346901368105128
2025-09-06 22:15:00,200.45,SOLUSDT,7130.005,1430460.41191,-0.0700000000000216,0.0,0.0700000000000216,0.13200439471905243,0.15611652027958994,0.8455504547670228,45.81562387432875,200.5678091964926,201.06088268863118,-0.493073492138592,-0.7029435251165566,Alta,203.07,0.03017383792865123,-0.020939735447696672
2025-09-06 22:30:00,200.2,SOLUSDT,5512.769,1104340.57137,-0.25,0.0,0.25,0.12257550938197725,0.1628224831167621,0.7528168532725102,42.94897392542755,200.47585689736945,201.01888841113697,-0.5430315137675166,-0.6709611228467486,Alta,203.07,-0.03061962155348565,-0.030308528840484364
2025-09-06 22:45:00,200.4,SOLUSDT,6450.14,1291483.61453,0.20000000000001705,0.20000000000001705,-0.0,0.1281058301404087,0.1511923057512791,0.8473038988581263,45.86705519226534,200.45689267302708,200.98869873254492,-0.5318060595178338,-0.6431301101809657,Alta,203.07,-0.04896471616512879,-0.033903234750719
2025-09-06 23:00:00,200.52,SOLUSDT,11019.435,2206138.38765,0.12000000000000455,0.12000000000000455,-0.0,0.12752684227323696,0.14039285534047344,0.9083570667749831,47.598904973798,200.47266950477032,200.96583537973785,-0.4931658749675307,-0.6131372631382788,Alta,202.91,-0.03797353712386032,-0.032493320860434216
2025-09-06 23:15:00,200.67,SOLUSDT,8567.172,1720413.40501,0.14999999999997726,0.14999999999997726,-0.0,0.129132067825147,0.13036479424472533,0.9905440235861208,49.76247758648303,200.52200212857775,200.9514043856043,-0.42940225702653834,-0.5763902619159307,Alta,202.84,-0.009480152842900968,-0.027200963745301697
2025-09-06 23:30:00,200.28,SOLUSDT,7970.039,1597331.5487,-0.38999999999998636,0.0,0.38999999999998636,0.11990834869477936,0.1489101660843868,0.8052395067965189,44.60568826268674,200.46150159643332,200.91865295216016,-0.4571513557268361,-0.5525424806781118,Alta,202.73,0.0036398853678273483,-0.023776526489419053
2025-09-06 23:45:00,200.16,SOLUSDT,8529.701,1707179.7786,-0.12000000000000455,0.0,0.12000000000000455,0.11134346664515227,0.14684515422121663,0.7582372549891403,43.12485432995921,200.38612619732498,200.88164549107915,-0.49551929375417103,-0.5411378432933237,Alta,202.73,-0.015270085974133278,-0.026128891050932176
