data,valor_fechamento,criptomoeda,volume_compra,volume_venda,change,gain,loss,avg_gain,avg_loss,rs,rsi,ema_short,ema_long,macd,macd_signal,indicativo_macd,max_50,gradiente_ema_curto,gradiente_ema_longo,grad_n3,grad_n5,grad_n7,grad_n10,grad_n12,grad_n15,grad_n20
2025-09-06 21:15:00,200.61,SOLUSDT,3984.894,799052.36226,0.21000000000000796,0.21000000000000796,-0.0,0.13909109721393226,0.15285432033404514,0.909958559954112,47.642843097913826,200.4230759790383,201.14163869625776,-0.71856271721947,-0.9978829851307103,Alta,203.24,0.07915435197207381,-0.031453999379478535,0.0376926748184309,0.07915435197207381,0.07876444429273313,0.029540300842881985,0.0013465467317290557,-0.038486244311624986,-0.08608611056298994
2025-09-06 21:30:00,201.11,SOLUSDT,10057.966,2019848.25447,0.5,0.5,-0.0,0.16487030455579424,0.14193615459589906,1.1615807475212367,53.73755983223221,200.5948069842787,201.14009534522077,-0.5452883609420667,-0.9073640602929816,Alta,203.24,0.08711576397904061,-0.02450502379999959,0.11701950611381211,0.08711576397904061,0.08818047607668557,0.054579468056408884,0.02599242753131386,-0.016346826090859686,-0.07018676337337225
2025-09-06 21:45:00,200.76,SOLUSDT,7724.795,1552170.02021,-0.35000000000002274,0.0,0.35000000000002274,0.15309385423038036,0.15679785783905076,0.9763772052774313,49.40237130190811,200.63610523820904,201.12155410886854,-0.4854488706594964,-0.8229810223662846,Alta,203.24,0.08108682298427874,-0.020236486053642914,0.10651462958534766,0.08108682298427874,0.08756392848608151,0.07370732831503012,0.04646984512400363,0.005855951860425301,-0.0523900725300251
2025-09-06 22:00:00,200.52,SOLUSDT,12443.913,2497982.89464,-0.23999999999998067,0.0,0.23999999999998067,0.14215857892821032,0.16274086799340287,0.8735272257118175,46.62474148887451,200.6070789286568,201.0922100059969,-0.48513107734009964,-0.7554110333610476,Alta,203.07,0.07056511723821257,-0.017346901368105128,0.006135972189048901,0.07056511723821257,0.07290508922171468,0.07835625381203988,0.05866357265419752,0.025124106752458436,-0.03374368221706969
2025-09-06 22:15:00,200.45,SOLUSDT,7130.005,1430460.41191,-0.0700000000000216,0.0,0.0700000000000216,0.13200439471905243,0.15611652027958994,0.8455504547670228,45.81562387432875,200.5678091964926,201.06088268863118,-0.493073492138592,-0.7029435251165566,Alta,203.07,0.03017383792865123,-0.020939735447696672,-0.03414802085822742,0.03017383792865123,0.04878595977343803,0.06832779641961932,0.06413753963050926,0.0361734372072025,-0.0160370849710744
2025-09-06 22:30:00,200.2,SOLUSDT,5512.769,1104340.57137,-0.25,0.0,0.25,0.12257550938197725,0.1628224831167621,0.7528168532725102,42.94897392542755,200.47585689736945,201.01888841113697,-0.5430315137675166,-0.6709611228467486,Alta,203.07,-0.03061962155348565,-0.030308528840484364,-0.06561101564367076,-0.03061962155348565,0.023107326972932628,0.04963978670866814,0.05833042745015854,0.04150507790540307,-0.004078565608000286
2025-09-06 22:45:00,200.4,SOLUSDT,6450.14,1291483.61453,0.20000000000001705,0.20000000000001705,-0.0,0.1281058301404087,0.1511923057512791,0.8473038988581263,45.86705519226534,200.45689267302708,200.98869873254492,-0.5318060595178338,-0.6431301101809657,Alta,203.07,-0.04896471616512879,-0.033903234750719,-0.05545826173274715,-0.04896471616512879,-0.007312361913156843,0.029487415789082507,0.0448404779302669,0.0426555941433357,0.004621526921812576
2025-09-06 23:00:00,200.52,SOLUSDT,11019.435,2206138.38765,0.12000000000000455,0.12000000000000455,-0.0,0.12752684227323696,0.14039285534047344,0.9083570667749831,47.598904973798,200.47266950477032,200.96583537973785,-0.4931658749675307,-0.6131372631382788,Alta,202.91,-0.03797353712386032,-0.032493320860434216,-0.0015936962995665158,-0.03797353712386032,-0.030573557149155165,0.011827683053933447,0.030990498307844942,0.0417595527503578,0.013067648950760931
2025-09-06 23:15:00,200.67,SOLUSDT,8567.172,1720413.40501,0.14999999999997726,0.14999999999997726,-0.0,0.129132067825147,0.13036479424472533,0.9905440235861208,49.76247758648303,200.52200212857775,200.9514043856043,-0.42940225702653834,-0.5763902619159307,Alta,202.84,-0.009480152842900968,-0.027200963745301697,0.032554727775312174,-0.009480152842900968,-0.025787310718997564,0.003567731987411841,0.019326789814797917,0.037882164562774,0.021146601374726334
2025-09-06 23:30:00,200.28,SOLUSDT,7970.039,1597331.5487,-0.38999999999998636,0.0,0.38999999999998636,0.11990834869477936,0.1489101660843868,0.8052395067965189,44.60568826268674,200.46150159643332,200.91865295216016,-0.4571513557268361,-0.5525424806781118,Alta,202.73,0.0036398853678273483,-0.023776526489419053,-0.005583954168522375,0.0036398853678273483,-0.01898334018212018,-0.009233291918518792,0.006435651801659231,0.028286623422074903,0.02442762020397552
2025-09-06 23:45:00,200.16,SOLUSDT,8529.701,1707179.7786,-0.12000000000000455,0.0,0.12000000000000455,0.11134346664515227,0.14684515422121663,0.7582372549891403,43.12485432995921,200.38612619732498,200.88164549107915,-0.49551929375417103,-0.5411378432933237,Alta,202.73,-0.015270085974133278,-0.026128891050932176,-0.06793796562638535,-0.015270085974133278,-0.01816607656515595,-0.02321284772676209,-0.00435158282706985,0.01657211042370149,0.02494853470185479
2025-09-07 00:00:00,200.81,SOLUSDT,14550.837,2917530.02252,0.6500000000000057,0.6500000000000057,-0.0,0.1498189333133561,0.13635621463398687,1.0987319772370217,52.35218165796955,200.49209464799372,200.8781505890753,-0.3860559410815654,-0.510121462850972,Alta,202.73,-0.009702564480612401,-0.024512847585034716,0.015296525780199006,-0.009702564480612401,-0.003713843138160376,-0.01951569640113717,-0.010737463344079197,0.008357654246337397,0.025123055161726266
2025-09-07 00:15:00,200.7,SOLUSDT,11476.515,2302994.73383,-0.11000000000001364,0.0,0.11000000000001364,0.13911758093383067,0.13447362787441736,1.034534303363558,50.84870290234146,200.5440709859953,200.86946031643745,-0.3253893304421638,-0.47317503636921043,Alta,202.73,0.00747307663954202,-0.020439050141854185,0.0789723943351488,0.00747307663954202,0.005875331932115244,-0.00898525714933774,-0.013210440165404217,0.002580740684756027,0.024737028213400652
2025-09-07 00:30:00,201.03,SOLUSDT,10537.636,2115907.48215,0.3300000000000125,0.3300000000000125,-0.0,0.15275203943855795,0.12486836874053041,1.2233045164221554,55.02190578872001,200.66555323949646,200.87729152051367,-0.2117382810172046,-0.42088768529880927,Alta,202.73,0.05660480747964195,-0.009490803793465036,0.0867292957513673,0.05660480747964195,0.023335070377652065,0.0073519662289086305,-0.004051186767405187,0.002908769799278995,0.02378397416756418
2025-09-07 00:45:00,201.15,SOLUSDT,9305.279,1871709.99934,0.12000000000000455,0.12000000000000455,-0.0,0.15041260805008985,0.11594919954477824,1.2972285159416064,56.469284920481144,200.78666492962236,200.89059437317152,-0.10392944354916267,-0.35749603694888,Alta,202.44,0.09745360560973332,0.0017038695622962623,0.12129697181352615,0.09745360560973332,0.04857273135465097,0.026968520126220072,0.011148672861506172,0.0055030059208969785,0.022230837768532727
2025-09-07 01:00:00,201.85,SOLUSDT,23864.228,4812005.839,0.6999999999999886,0.6999999999999886,-0.0,0.1896688503322255,0.10766711386300835,1.761622871897106,63.78940766401436,201.05249869721678,200.93739464765096,0.1151040495658151,-0.262976019645941,Alta,202.44,0.13634020420730858,0.013962217388527773,0.1934727288601618,0.13634020420730858,0.0981259770874315,0.05230214767042377,0.03420066548529777,0.015002254440679274,0.024081023063240184
2025-09-07 01:15:00,202.28,SOLUSDT,21450.193,4331339.71277,0.4300000000000068,0.4300000000000068,-0.0,0.2068353610227813,0.09997660572993632,2.0688375996830617,67.41437213545362,201.3593740229126,201.00288759166799,0.3564864312446048,-0.13908352946783184,Alta,202.44,0.20175515315548975,0.03269576775983021,0.2863545466451145,0.20175515315548975,0.15296948281556827,0.08612055014675815,0.06415574386922515,0.034832047973361355,0.029947985342541214
