data,valor_fechamento,criptomoeda,volume_compra,volume_venda,change,gain,loss,avg_gain,avg_loss,rs,rsi,variacao_diaria,total_linhas,ano,mes,ema_short,ema_long,macd,macd_signal,indicativo_macd,grad_n3,grad_n5,grad_n7,grad_n10,max_50,gradiente_ema_curto,gradiente_ema_longo
2025-09-06 07:15:00,202.98,SOLUSDT,11079.774,2247475.23818,0.13999999999998636,0.13999999999998636,-0.0,0.12335298334730685,0.13039318291253624,0.9460079169173151,48.61274759950067,0.06901991717609413,192,2025,9,202.72953843342208,203.23590366845053,-0.5063652350284542,-0.4831393534407486,Baixa,0.07406838700254133,0.0067164443146000875,-0.0325109679236874,-0.09211687714805326,204.41,0.0067164443146000875,-0.031046307616143087
2025-09-06 07:30:00,203.21,SOLUSDT,10556.264,2143709.09099,0.2300000000000182,0.2300000000000182,-0.0,0.1309706273939291,0.12107938413306937,1.0816922164882254,51.96215885905647,0.11331165632082474,192,2025,9,202.84965382506655,203.23464007486757,-0.3849862498010168,-0.46350873271280224,Alta,0.10180129025190662,0.059037333235951055,0.005973916914379961,-0.05263311240648349,204.41,0.059037333235951055,-0.018995268220232463
2025-09-06 07:45:00,203.03,SOLUSDT,7024.155,1426380.36411,-0.18000000000000682,0.0,0.18000000000000682,0.12161558258007701,0.12528799955213635,0.9706881985091388,49.25630544920713,-0.08857831799616855,192,2025,9,202.89474036879992,203.22465763219108,-0.32991726339116667,-0.4367904388484752,Alta,0.08260096768891768,0.08302799992696837,0.04144472340007168,-0.015550591880611789,204.41,0.08302799992696837,-0.010507694160703887
2025-09-06 08:00:00,202.74,SOLUSDT,10692.434,2169786.60681,-0.28999999999999204,0.0,0.28999999999999204,0.11292875525292866,0.1370531424412689,0.8239778617357992,45.174773171405484,-0.14283603408362655,192,2025,9,202.85605527659993,203.20101579647442,-0.3449605198744905,-0.41842445505367826,Alta,0.0032007257666804264,0.05852099994521365,0.05402997112148992,0.008730995483470089,204.41,0.05852099994521365,-0.010726831030922878
2025-09-06 08:15:00,203.09,SOLUSDT,8829.547,1791825.77628,0.3499999999999943,0.3499999999999943,-0.0,0.1298624155920048,0.12726363226689255,1.0204204711025548,50.50535201445992,0.17263490184471486,192,2025,9,202.91454145744996,203.19560039176835,-0.2810589343183949,-0.3909513509066216,Alta,0.009900544324990495,0.03764074995890649,0.05659390691253699,0.025230064794410714,204.41,0.03764074995890649,-0.011423083175747148
2025-09-06 08:30:00,203.41,SOLUSDT,11706.989,2380775.09718,0.3199999999999932,0.3199999999999932,-0.0,0.14344367162114682,0.11817337281925737,1.2138408864790515,54.829635403905414,0.15756561130533253,192,2025,9,203.03840609308747,203.20605890924307,-0.16765281615559502,-0.3462916439564163,Alta,0.09117540824377468,0.0397305624691904,0.05548114447012189,0.043907397080676105,204.41,0.0397305624691904,-0.008621957167185479
2025-09-06 08:45:00,203.49,SOLUSDT,15392.693,3131372.02691,0.0800000000000125,0.0800000000000125,-0.0,0.1389119807910658,0.10973241761788184,1.2659156136958098,55.86772985032063,0.039329433164558836,192,2025,9,203.1513045698156,203.21990969415802,-0.06860512434241173,-0.29075434003361544,Alta,0.11838155618281536,0.06954792185188058,0.059378715495450485,0.05861236599232473,204.41,0.06954792185188058,-0.0004452763297606373
2025-09-06 09:00:00,203.0,SOLUSDT,16821.034,3418899.3368,-0.4900000000000091,0.0,0.4900000000000091,0.1289896964488468,0.13689438778803378,0.942257009458806,48.513507989416816,-0.2407980736154114,192,2025,9,203.1134784273617,203.20918239200395,-0.09570396464224018,-0.2517442649553404,Alta,0.0375361671371347,0.0751609413889224,0.05310546519302016,0.060762304797272695,204.41,0.0751609413889224,0.004064249344867333
2025-09-06 09:15:00,202.94,SOLUSDT,10711.969,2176271.57397,-0.060000000000002274,0.0,0.060000000000002274,0.1197761467025006,0.1314019315174601,0.91152500818898,47.68574851409234,-0.0295566502463096,192,2025,9,203.07010882052128,203.19605154361352,-0.12594272309223697,-0.22658395658271974,Alta,-0.040597874647150506,0.03862070604166975,0.045632670323326255,0.05152627405250473,204.41,0.03862070604166975,0.0004025786451084673
2025-09-06 09:30:00,203.24,SOLUSDT,7032.754,1428190.24184,0.30000000000001137,0.30000000000001137,-0.0,0.13264927908089422,0.12201607926621295,1.0871458899403077,52.0876808458943,0.14782694392432294,192,2025,9,203.11258161539098,203.19819537075432,-0.08561375536334026,-0.19838991633884384,Alta,-0.00044840598537226433,0.006715529531267244,0.04127807417108797,0.04299319038786808,204.41,0.006715529531267244,-0.0039585227521981995
